city,state,department_name,contact_name,email,portal_url
Austin,TX,Development Services Department,,DevelopmentProcessTeam@austintexas.gov,https://www.austintexas.gov/development-services
Dallas,TX,Building Inspection / Sustainable Development,,permits@dallascityhall.com,https://dallascityhall.com/departments/sustainabledevelopment/buildinginspection
Houston,TX,Planning and Development Department,,planningdepartment@houstontx.gov,https://www.houstontx.gov/planning/
Fort Worth,TX,Development Services,,zoninglanduse@fortworthtexas.gov,https://www.fortworthtexas.gov/departments/development-services
Arlington,TX,Planning and Development Services,,rripley@arlingtontx.gov,https://www.arlingtontx.gov/city_hall/departments/planning_development_services/permitting_and_inspections
Plano,TX,Building Inspections,,BuildingPermits@plano.gov,https://www.plano.gov/350/Building-Inspections-Permits
Garland,TX,Building Inspection,,buildinginspections@garlandtx.gov,https://www.garlandtx.gov/221/Building-Inspection
Irving,TX,Inspections Department,,Irving-Permits@cityofirving.org,https://irvingtx.gov/inspections
Lubbock,TX,Building Safety Department,,buildingsafety@mylubbock.us,https://www.mylubbock.us/529/Building-Safety
Amarillo,TX,Building Safety,,building@amarillo.gov,https://www.amarillo.gov/departments/planning-and-development-services/building-safety
McKinney,TX,Building Inspections,,buildinginspections@mckinneytexas.org,https://www.mckinneytexas.org/243/Building-Inspections
Frisco,TX,Building Inspections,,buildinginspections@friscotexas.gov,https://www.friscotexas.gov/395/Building-Inspections
Round Rock,TX,Building Inspection Division,,buildingpermits@roundrocktexas.gov,https://www.roundrocktexas.gov/city-departments/planning-and-development-services/building-inspection/
Denton,TX,Development Services,,buildingdocs@cityofdenton.com,https://www.cityofdenton.com/239/Development-Services
Killeen,TX,Development Services,,buildingpermits@killeentexas.gov,https://www.killeentexas.gov/203/Development-Services
Laredo,TX,Building Development Services,,bldgpermits@ci.laredo.tx.us,https://www.cityoflaredo.com/departments/building-development-services
El Paso,TX,Planning and Inspections,,OSSHelp@elpasotexas.gov,https://www.elpasotexas.gov/planning-and-inspections/
Beaumont,TX,Building Codes,,permits@beaumonttexas.gov,https://beaumonttexas.gov/departments/community-development/building-codes/
Corpus Christi,TX,Development Services,,DSOutreach@cctexas.com,https://www.corpuschristitx.gov/department-directory/development-services/
Richardson,TX,Building Inspection,,permits@cor.gov,https://www.cor.net/departments/building-inspection
Allen,TX,Building and Permitting,,permits@allentx.gov,https://www.cityofallen.org/departments/community_development/building_and_permitting/
Sugar Land,TX,Permits and Inspections,,permits@sugarlandtx.gov,https://www.sugarlandtx.gov/2362/Permits-Inspections
