month,licences_expiring
2020-11,1
2021-12,1
2023-01,2
2023-03,2
2023-05,2
2023-06,1
2023-08,1
2023-09,3
2023-11,2
2024-01,1
2024-02,2
2024-03,3
2024-04,2
2024-05,3
2024-06,3
2024-07,3
2024-09,3
2024-10,2
2024-11,3
2024-12,5
2025-01,9
2025-02,8
2025-03,24
2025-04,25
2025-05,15
2025-06,22
2025-07,27
2025-08,23
2025-09,24
2025-10,39
2025-11,26
2025-12,34
2026-01,53
2026-02,105
2026-03,199
2026-04,375
2026-05,655
2026-06,677
2026-07,789
2026-08,719
2026-09,773
2026-10,820
2026-11,706
2026-12,796
2027-01,1064
2027-02,929
2027-03,900
2027-04,861
2027-05,818
2027-06,765
2027-07,812
2027-08,789
2027-09,833
2027-10,714
2027-11,606
2027-12,633
2028-01,643
2028-02,564
2028-03,423
2028-04,247
2028-05,155
2028-06,35
2028-07,31
2028-12,1
