county,dealers_total,dealers_active,dealers_expired
Harris,3100,2970,409
Dallas,2064,1975,253
Tarrant,1323,1272,167
Bexar,1057,1005,135
Hidalgo,921,891,121
El Paso,649,626,83
Travis,438,412,67
Cameron,383,368,60
Collin,321,302,45
Denton,304,290,27
Webb,300,280,57
Fort Bend,279,267,36
Montgomery,277,270,35
Lubbock,264,255,32
Williamson,260,252,25
Smith,225,221,24
McLennan,217,210,29
Nueces,216,211,34
Johnson,193,186,33
Bell,188,182,18
Potter,183,177,27
Jefferson,154,146,14
Brazoria,149,146,17
Galveston,146,142,14
Ector,141,140,11
Grayson,133,129,24
Gregg,131,130,14
Hays,128,125,17
Randall,125,124,15
Hunt,124,120,18
Taylor,118,114,11
Ellis,116,113,19
Parker,116,112,17
Wichita,108,105,11
Comal,108,107,15
Guadalupe,106,106,5
Brazos,105,102,13
Midland,103,101,13
Bowie,99,95,21
Angelina,93,89,13
Wise,89,89,8
Tom Green,84,82,14
Kaufman,82,79,9
Victoria,78,78,12
Nacogdoches,74,71,17
Henderson,66,66,4
Navarro,63,63,2
Harrison,61,59,9
Rockwall,59,56,6
Lamar,58,57,7
Van Zandt,55,55,9
Maverick,54,53,7
Hopkins,54,53,6
Burnet,53,50,7
Titus,53,52,7
Bastrop,53,50,9
Starr,51,50,4
Cooke,50,49,7
Polk,46,44,3
Liberty,44,43,4
Orange,44,43,3
Erath,43,42,5
Walker,43,42,3
Waller,42,42,2
Anderson,41,40,4
Hood,41,39,4
Kerr,40,40,4
Gaines,40,40,4
Brown,39,38,4
Rusk,38,37,5
Wood,36,35,5
Hardin,35,34,6
Jasper,33,33,3
Kendall,33,31,3
Washington,31,31,3
Wharton,31,30,2
Medina,30,29,4
Caldwell,30,30,1
Val Verde,29,27,4
Atascosa,29,29,2
Upshur,29,28,4
Austin,28,28,4
San Patricio,27,26,3
Wilson,26,26,1
Cherokee,26,24,4
Fannin,25,25,3
Hill,25,23,5
Hale,25,24,7
Grimes,24,24,0
Coryell,24,22,3
Chambers,22,22,3
Aransas,22,21,1
Matagorda,21,21,3
Lampasas,21,21,3
Fayette,21,21,3
Montague,21,21,0
Gray,20,20,3
Callahan,20,20,2
Freestone,20,20,0
Panola,20,20,3
Cass,20,19,2
Howard,19,19,2
Limestone,19,18,1
Jones,19,17,2
Madison,19,19,1
Camp,19,18,6
Uvalde,18,18,0
Calhoun,18,18,0
Moore,17,17,1
Eastland,17,17,0
Martin,16,16,0
Robertson,16,16,2
Colorado,16,16,0
Jim Wells,16,14,2
Comanche,16,15,3
Wilbarger,15,15,2
Lavaca,15,13,2
Hutchinson,15,14,2
Shelby,14,14,1
Terry,14,14,0
Milam,13,13,1
Young,13,12,2
Gillespie,13,13,1
Andrews,13,13,2
Palo Pinto,12,12,1
Houston,12,10,3
Morris,12,12,1
Clay,12,12,1
Lee,12,12,1
Dallam,12,12,1
Kleberg,12,12,2
Red River,11,11,0
Lamb,11,11,1
Bandera,11,9,3
Gonzales,11,11,0
Ochiltree,11,11,1
Scurry,11,10,1
Bosque,11,10,2
Falls,10,10,1
Coleman,10,10,2
DeWitt,10,9,2
Rains,10,10,1
Dawson,10,10,1
Live Oak,9,9,2
Trinity,9,9,1
Bee,9,8,1
Mills,9,9,0
Burleson,9,7,2
Parmer,9,9,1
Pecos,9,9,2
McCulloch,8,8,2
Carson,8,8,3
Nolan,8,8,0
Hartley,8,8,1
Hockley,8,8,1
Stephens,7,7,0
Jackson,7,7,2
Deaf Smith,7,7,3
Bailey,7,7,0
Presidio,6,6,1
Reeves,6,6,3
Marion,6,6,4
Llano,6,6,1
Karnes,6,6,0
Blanco,6,6,1
Willacy,6,6,0
Jack,6,6,1
Frio,6,6,1
Franklin,6,6,1
San Jacinto,5,5,0
Sabine,5,5,1
Hamilton,5,5,0
Tyler,4,4,0
Archer,4,3,1
Mason,4,3,2
San Augustine,4,4,1
Baylor,4,4,1
Haskell,4,4,0
Edwards,4,4,0
Castro,4,4,1
Jim Hogg,4,4,0
Somervell,4,4,0
Fisher,4,4,0
Floyd,3,3,0
Goliad,3,3,0
Ward,3,3,0
Childress,3,3,0
De Witt,3,3,1
Runnels,3,2,2
Crosby,3,3,0
Leon,2,2,0
Zapata,2,2,0
Sherman,2,2,1
Coke,2,2,0
Hansford,2,2,0
Zavala,2,2,0
Dimmit,2,2,0
Winkler,2,2,0
Hemphill,2,2,0
Collingsworth,2,2,0
Brooks,2,2,0
Mitchell,2,2,0
Knox,2,2,0
San Saba,2,2,0
Schleicher,2,2,0
Swisher,2,2,0
Throckmorton,1,1,0
Yoakum,1,1,0
Reagan,1,1,0
Delta,1,1,0
Hudspeth,1,1,0
Lynn,1,1,0
Sutton,1,0,1
Kent,1,1,0
Oldham,1,1,0
Lipscomb,1,1,0
Kimble,1,1,1
Wheeler,1,1,1
Hardeman,1,1,0
Refugio,1,1,0
Shackelford,1,0,1
Culberson,1,1,0
Jeff Davis,1,1,0
Stonewall,1,1,0
Duval,1,1,0
Newton,1,1,0
