license_type,license_category,dealers_total
Used (Independent),,11996
New (Franchise),,2160
Used (Independent),Utility Trailer/Semi-Trailer,1658
New (Franchise),Motorcycle,751
New (Franchise),Utility Trailer/Semi-Trailer,708
Used (Independent),Wholesale Dealer License,638
Used (Independent),Non-motorized Travel Trailer,314
New (Franchise),Non-motorized Travel Trailer,274
Used (Independent),Motorcycle,220
Used (Independent),Wholesale Motor Vehicle Auction License,69
Used (Independent),Independent Mobility Motor Vehicle Dealer,19
New (Franchise),Wholesale Motor Vehicle Auction License,3
New (Franchise),Wholesale Dealer License,1
