city,commissions_total,commissions_active,commissions_expired
Houston,58662,50519,8136
San Antonio,27304,23675,3629
Dallas,24244,20926,3316
Austin,18411,15868,2539
Fort Worth,16109,13884,2224
El Paso,10322,8991,1330
Katy,7141,6212,929
Spring,6765,5903,862
Arlington,6248,5351,897
Plano,5360,4615,745
Corpus Christi,4931,4277,653
Lubbock,4874,4250,624
Midland,4375,3799,576
Cypress,4020,3504,516
Conroe,3993,3516,476
Amarillo,3808,3345,462
Mckinney,3800,3282,518
Irving,3732,3210,522
Frisco,3648,3176,471
Humble,3588,3027,561
Garland,3536,3077,459
Richmond,3529,3066,463
Grand Prairie,3113,2686,427
Tyler,3042,2621,421
Odessa,2974,2598,376
Pearland,2880,2476,404
Round Rock,2875,2489,386
Laredo,2865,2493,371
Sugar Land,2735,2376,359
Beaumont,2656,2342,314
Carrollton,2643,2277,365
Mesquite,2630,2279,351
New Braunfels,2587,2252,335
Waco,2563,2195,368
Mcallen,2535,2229,306
Brownsville,2337,2045,292
Edinburg,2310,2051,259
Tomball,2309,2040,269
Missouri City,2308,1975,333
Denton,2286,2002,284
Georgetown,2251,1969,282
Richardson,2178,1892,286
Baytown,2140,1859,281
Killeen,2100,1744,355
Lewisville,2099,1801,298
Pasadena,2079,1794,285
Abilene,2060,1802,258
Longview,1961,1722,239
Allen,1877,1658,219
Pflugerville,1786,1526,260
Weatherford,1728,1526,202
Waxahachie,1728,1512,216
Forney,1727,1506,221
Mansfield,1722,1495,227
Burleson,1685,1473,212
Bryan,1678,1472,206
League City,1674,1467,207
Magnolia,1630,1416,214
Rockwall,1626,1440,185
Wichita Falls,1622,1421,201
Mission,1597,1408,187
San Angelo,1589,1399,189
Leander,1564,1383,181
College Station,1563,1358,205
Temple,1548,1334,214
The Woodlands,1472,1253,219
Desoto,1457,1252,205
Montgomery,1377,1203,174
Cedar Park,1343,1151,192
Victoria,1321,1162,159
Rowlett,1299,1128,171
Wylie,1249,1093,156
Kingwood,1240,1067,173
Kyle,1209,1059,150
Mound,1206,1063,143
Rosenberg,1202,1072,130
Cedar Hill,1174,979,195
Boerne,1157,1030,127
Granbury,1134,994,139
North Richland Hills,1131,960,171
Harlingen,1125,988,137
Lufkin,1111,957,154
Midlothian,1111,995,116
Little Elm,1087,932,155
San Marcos,1077,929,148
Grapevine,1069,933,136
Universal City,1068,944,124
Seguin,1043,911,132
Aubrey,1037,896,141
Texas City,1029,884,145
Euless,1008,853,155
Rosharon,1003,889,114
Friendswood,995,845,150
Lancaster,991,830,161
Huntsville,983,861,122
Alvin,983,875,108
Cleveland,967,858,109
Buda,956,826,130
Bedford,927,787,140
Hutto,919,814,105
Keller,918,781,137
Sherman,917,823,94
The Colony,908,778,130
Cleburne,905,802,103
Converse,904,778,126
Royse City,873,774,99
Orange,870,761,107
Pharr,863,770,93
Prosper,834,729,105
New Caney,831,731,100
Hurst,827,720,106
Nacogdoches,824,723,100
Porter,824,716,108
Galveston,815,694,120
Weslaco,814,703,111
Texarkana,812,701,111
Deer Park,800,687,113
Kerrville,800,701,99
Coppell,797,691,106
Willis,793,705,88
Princeton,788,722,66
Addison,754,645,108
Duncanville,743,632,111
Schertz,735,641,94
Bastrop,733,641,92
La Porte,730,620,110
Crowley,729,630,99
Azle,724,646,77
Terrell,722,628,94
Haslet,721,604,117
Belton,720,642,78
Farmers Branch,718,623,95
Dickinson,712,605,107
Southlake,704,613,91
Crosby,703,607,96
Greenville,696,604,92
Livingston,689,607,82
Angleton,678,593,85
Port Arthur,676,589,87
Red Oak,662,575,86
Manvel,646,586,60
Stafford,645,561,84
Manor,640,554,86
Brenham,629,550,78
Cibolo,621,555,66
Kaufman,616,550,65
Del Rio,611,530,81
Anna,607,540,67
Hockley,605,534,71
Eagle Pass,591,517,74
Liberty Hill,591,533,58
Celina,591,517,74
Fresno,583,512,71
Haltom City,569,489,80
Ennis,567,507,60
Fulshear,564,516,48
Marshall,563,507,56
Corsicana,560,501,59
Decatur,559,494,65
Copperas Cove,554,468,86
Dayton,544,481,63
Sachse,531,466,65
Paris,521,457,64
Denison,515,453,62
Athens,515,455,60
Palestine,498,449,49
Gainesville,497,438,59
Lake Jackson,495,427,68
Springtown,493,425,68
Harker Heights,489,417,72
Sulphur Springs,489,420,69
Helotes,478,408,70
Nederland,477,415,62
Corinth,472,416,56
Melissa,471,410,61
Argyle,468,422,46
Henderson,465,415,50
Elgin,464,413,51
Colleyville,454,394,60
Dripping Springs,454,388,66
Webster,453,381,71
Aledo,449,400,49
Channelview,448,384,64
Justin,447,403,44
Roanoke,447,394,53
Bellaire,442,382,60
Vidor,440,378,62
Fredericksburg,438,382,56
San Juan,435,387,48
Big Spring,430,389,41
Brownwood,426,369,57
Rio Grande City,424,369,55
Lumberton,420,368,52
San Benito,418,356,62
Canyon,415,367,48
Alvarado,412,367,45
Gilmer,406,361,45
Fate,402,355,47
Glenn Heights,401,325,76
Rockport,401,350,51
Saginaw,400,353,47
Sanger,399,346,53
Kilgore,398,355,43
Spring Branch,398,337,61
Jacksonville,392,340,52
Lockhart,391,341,50
Jarrell,389,340,49
Donna,389,343,46
Portland,388,344,44
Bulverde,386,348,38
Santa Fe,386,324,62
Benbrook,383,337,46
Burnet,382,337,45
Alice,378,331,47
Taylor,377,338,39
Del Valle,373,320,53
Seagoville,371,325,46
Uvalde,371,321,50
Kingsville,364,311,53
Balch Springs,359,315,44
Canyon Lake,358,318,40
Bay City,355,307,48
Canton,353,311,42
Marble Falls,353,301,52
Watauga,350,312,38
Waller,348,311,37
Joshua,341,304,37
Wills Point,341,286,55
Lindale,340,295,45
Alamo,340,302,38
Liberty,336,303,32
La Marque,330,282,48
La Vernia,326,285,41
Mineral Wells,325,285,40
Mabank,324,280,44
El Campo,317,286,30
Brookshire,317,276,41
Sealy,314,283,31
Graham,310,279,31
Mount Pleasant,308,263,45
Seabrook,303,258,45
Van Alstyne,301,267,34
Seminole,300,270,30
Gatesville,296,252,44
Huffman,295,267,28
Carthage,292,252,40
Silsbee,292,258,34
Plainview,291,256,35
Hempstead,288,262,26
Pampa,288,248,40
Robstown,287,252,35
Wharton,285,245,40
Andrews,285,249,36
Jasper,285,253,32
Port Neches,284,250,34
Mercedes,279,251,28
Whitehouse,278,242,36
Crandall,277,243,34
Beeville,276,231,45
Lampasas,276,247,29
Mc Kinney,273,239,34
Bullard,272,239,33
Pleasanton,269,232,37
Farmersville,268,228,40
