zip,commissions_total,commissions_active
77002,2956,2558
77449,2302,1976
77433,2154,1895
77084,2005,1733
77494,2002,1755
75126,1985,1725
78130,1877,1636
77429,1846,1592
78660,1775,1519
77584,1744,1478
77379,1729,1507
76063,1708,1486
77573,1654,1450
76028,1643,1436
75052,1573,1350
77346,1567,1334
77459,1562,1344
77493,1558,1383
75071,1549,1377
78641,1534,1361
78701,1515,1335
75201,1481,1290
77375,1476,1290
79936,1474,1281
77469,1474,1290
75115,1429,1225
76227,1417,1217
77373,1395,1217
77095,1387,1221
76179,1386,1208
77056,1373,1176
75165,1335,1158
77024,1334,1168
78613,1307,1119
79424,1304,1154
75034,1287,1109
78640,1283,1123
75098,1279,1116
78245,1275,1103
75070,1267,1087
78746,1256,1094
77479,1243,1082
75056,1227,1060
77057,1225,1054
77386,1218,1055
79705,1217,1049
77070,1216,1040
77450,1211,1041
75068,1205,1035
77027,1196,1022
75154,1194,1018
75035,1192,1038
77407,1185,1056
78216,1182,1025
76244,1180,986
76102,1177,1042
77406,1175,992
77583,1169,1036
78504,1169,1041
77007,1149,988
75189,1138,1011
75087,1136,1009
75006,1132,973
77044,1131,974
77521,1131,987
76065,1127,1009
75104,1126,945
77396,1125,946
78254,1117,964
75093,1111,962
78253,1106,955
77845,1105,962
77040,1105,967
75002,1096,975
77581,1093,961
78759,1091,955
78148,1069,946
75024,1066,934
79938,1066,961
79701,1052,929
78665,1050,901
78666,1049,906
79912,1037,891
78209,1036,904
79928,1036,896
76051,1035,902
76107,1028,904
77380,1024,862
77304,1023,891
77042,1021,867
75074,1021,871
78155,1020,894
77354,1017,888
78664,1014,881
77388,1012,874
78501,1012,883
77008,1003,890
75067,990,814
78626,989,864
78610,989,859
77546,979,832
75043,975,845
77077,974,822
77079,963,832
76137,955,832
75703,954,810
77511,947,843
75150,947,822
78249,944,799
77089,941,811
78006,940,836
75013,939,821
77064,934,816
75219,929,815
78634,925,820
78258,919,807
75206,915,783
77471,915,817
77339,911,774
78109,909,782
75007,908,795
78572,907,802
79925,906,782
78539,899,802
77338,896,748
77478,893,784
77301,885,777
78045,885,781
77377,885,795
75234,882,779
76131,878,761
77083,878,757
75149,873,766
78247,869,752
75040,867,761
76502,866,749
79762,863,736
78577,856,763
75243,847,713
78232,846,747
75080,845,734
76210,845,742
78628,839,739
75078,839,734
78520,838,732
77357,838,738
79423,831,720
76116,831,709
77055,826,721
77041,825,721
77365,824,717
75019,824,717
76108,821,722
78230,821,703
77036,820,720
78521,818,725
76542,818,684
75032,814,717
78154,811,710
75028,811,726
78542,811,714
75081,804,718
77536,799,684
79707,796,706
78748,795,684
75033,789,700
76087,787,694
75050,785,678
75407,783,716
79109,782,681
77389,782,697
75217,781,683
75001,780,667
77539,779,662
75204,778,657
77489,772,655
78745,771,654
76017,771,667
78028,769,679
75231,768,672
77571,766,653
78681,764,664
78414,762,662
77065,761,654
77073,756,639
77088,756,648
76036,752,649
76262,751,657
75701,747,653
78108,746,668
76052,745,626
78704,744,633
76226,744,659
75023,741,623
78602,739,648
75225,739,651
75228,739,634
75248,736,643
77092,735,641
78212,732,652
75063,728,624
76513,727,647
78233,723,640
78251,722,616
76123,717,610
76180,715,592
77498,711,626
77477,710,623
78041,708,614
77356,708,617
77532,708,610
76092,707,616
75211,704,607
75069,702,596
76020,701,625
78132,698,609
75077,697,618
76133,695,599
78223,695,603
77009,689,600
75062,689,587
78217,686,605
75287,684,553
