month,commissions_expiring
2025-04,6645
2025-05,6145
2025-06,6571
2025-07,6418
2025-08,6973
2025-09,6516
2025-10,6469
2025-11,5689
2025-12,4773
2026-01,6500
2026-02,6763
2026-03,8498
2026-04,8919
2026-05,9551
2026-06,10536
2026-07,10721
2026-08,12599
2026-09,10969
2026-10,10229
2026-11,8767
2026-12,7800
2027-01,10489
2027-02,9998
2027-03,11949
2027-04,10929
2027-05,11155
2027-06,10545
2027-07,10374
2027-08,11508
2027-09,10040
2027-10,10368
2027-11,8307
2027-12,7437
2028-01,9961
2028-02,10626
2028-03,10392
2028-04,10539
2028-05,10313
2028-06,9887
2028-07,10491
2028-08,11102
2028-09,10086
2028-10,10496
2028-11,8566
2028-12,7574
2029-01,8052
2029-02,8852
2029-03,11279
2029-04,11764
2029-05,10520
2029-06,10421
2029-07,10636
2029-08,10437
2029-09,9754
2029-10,10072
2029-11,8544
2029-12,8014
2030-01,6967
2030-02,7838
2030-03,8542
2030-04,3867
2030-05,1479
2030-06,561
2030-07,62
